,City,Median_Household_Income,Percent_Male,Percent_Female,Percent_over_25y,Percent_HS_less,Percent_HS,Percent_Some_Col_Assoc,Percent_BS_over,Percent_unemployed,Poverty_Rate,Percent_Owner_Occ,Percent_Renter_Occ,Median_Rent,Population1,"Total
Offenses",Crime Rate
125,Dalhart,75000,7.4,9.8,7.5,0.1,3.9,17.8,17.8,54.6,3.1562740569668977,78.1,21.9,1133,8410,211,9.631391200951247
126,Dallas,63985,15.4,19.7,13.7,23.5,20.4,12.0,12.0,31.5,7.956603032812056,41.9,58.1,1305,1286121,107022,22.212528992217685
127,Dayton,59848,15.5,18.0,14.9,48.9,10.0,6.5,6.5,55.2,3.151587777112043,66.9,33.1,986,9451,447,9.522801819913237
128,Decatur,70579,2.5,7.0,7.5,12.6,16.2,0.0,0.0,0.0,2.6287136413128014,64.2,35.8,889,7147,669,15.530992024625716
129,Deer Park,89219,6.8,7.9,7.0,16.2,10.8,4.8,4.8,7.7,3.035767070647354,76.6,23.4,1255,33022,1412,7.08618496759736
130,De Leon,40720,12.5,10.9,10.7,12.0,15.2,0.0,0.0,8.9,3.1067961165048543,76.1,23.9,536,2310,63,8.225108225108226
131,Del Rio,57072,17.6,20.0,18.6,33.3,20.6,13.0,13.0,32.9,8.740421455938698,66.7,33.3,861,34495,1281,12.175677634439774
132,Denison,58930,18.1,18.0,13.3,18.6,17.1,13.1,13.1,26.1,6.987882757491404,60.6,39.4,1058,25828,1182,9.911723710701564
133,Denton,71921,15.2,16.2,8.2,13.2,10.1,9.2,9.2,36.0,8.41513776995464,49.4,50.6,1264,154230,8384,16.073396874797382
134,Denver City,81449,17.1,4.9,7.8,5.1,3.3,17.1,17.1,25.0,6.0764679107874375,72.5,27.5,1042,4346,80,7.363092498849517
135,DeSoto,81736,8.3,8.2,7.2,11.4,9.3,6.9,6.9,8.5,4.132907023216946,70.1,29.9,1414,55956,2609,14.225462863678604
136,Devine,45616,18.0,16.9,17.2,58.2,14.9,1.6,1.6,-,10.623827392120075,70.0,30.0,662,4483,203,6.915012268570154
137,Diboll,55399,25.0,26.8,14.5,19.0,16.0,13.0,13.0,26.6,13.33170850597124,68.7,31.3,525,4466,190,8.508732646663681
138,Dickinson,81739,10.5,14.8,9.2,21.7,15.4,5.7,5.7,25.6,7.529685681024446,79.0,21.0,1163,21936,994,15.36287381473377
139,Dilley,59044,11.9,23.0,16.3,33.8,11.2,7.0,7.0,90.0,5.809926894959601,73.1,26.9,669,3318,57,8.740204942736588
140,Dimmitt,64848,11.9,10.8,8.4,11.9,7.4,3.7,3.7,85.9,7.142857142857142,58.5,41.5,840,4183,91,6.932823332536457
141,Donna,34049,35.1,40.6,29.3,47.5,28.3,15.6,15.6,60.0,20.131461009859574,59.5,40.5,694,16842,1046,16.862605391283697
142,Double Oak,187115,3.5,3.0,2.7,4.8,4.4,4.8,4.8,0.0,1.2833168805528137,97.3,2.7,-,3052,37,2.293577981651376
143,Driscoll,35246,35.5,47.7,29.5,36.8,25.5,3.0,3.0,100.0,35.041551246537395,33.3,66.7,1085,668,3,2.9940119760479043
144,Dublin,52153,39.9,15.1,23.8,29.2,43.9,19.4,19.4,0.0,12.627169359664872,76.9,23.1,973,3469,65,6.630152781781493
145,Dumas,65379,13.2,15.2,14.6,11.0,25.0,8.0,8.0,52.6,4.872896274910218,67.2,32.8,1000,14140,737,11.244695898161243
146,Duncanville,66601,8.5,11.6,8.2,12.1,6.5,10.6,10.6,22.6,4.375701634027691,64.5,35.5,1458,39474,1902,10.006586613973756
147,Eagle Pass,52254,19.5,26.9,18.7,37.0,18.2,14.6,14.6,20.5,9.021505376344086,56.4,43.6,730,28811,1782,15.75787025788761
148,Early,60313,5.5,16.5,7.4,11.5,14.9,7.6,7.6,0.0,6.562193927522038,70.7,29.3,1076,3161,169,15.817779183802596
149,Eastland,55802,16.0,16.2,18.1,38.3,20.9,5.1,5.1,43.5,10.20697476609016,61.8,38.2,761,3630,153,7.988980716253443
150,Edgewood,70197,8.1,18.5,7.9,18.9,4.4,10.2,10.2,0.0,3.3214709371292996,64.2,35.8,959,1649,2,1.2128562765312312
151,Edinburg,54139,24.2,27.2,19.7,42.5,22.0,17.8,17.8,31.8,10.076800433500413,53.6,46.4,920,104987,7341,22.802823206682735
152,Edna,60361,22.4,15.5,19.4,36.7,15.0,18.3,18.3,48.9,3.826355525051476,66.0,34.0,942,5976,150,12.048192771084338
153,El Campo,62667,16.7,18.3,14.3,31.3,12.1,8.1,8.1,45.6,7.366771159874608,56.8,43.2,974,12235,1138,20.841847159787495
154,Electra,44922,18.6,22.0,20.4,40.3,18.7,17.5,17.5,49.0,9.955860716037272,66.2,33.8,705,2286,75,13.123359580052494
155,Elgin,85014,10.3,10.1,7.8,20.7,8.9,0.2,0.2,7.8,9.280032633081786,63.0,37.0,1128,11245,416,12.094264117385505
156,Elmendorf,55313,17.1,19.6,15.9,29.9,10.8,9.2,9.2,58.1,13.736036408771204,80.3,19.7,1292,2202,68,3.1789282470481384
157,El Paso,55710,16.8,21.0,15.6,32.3,17.7,13.0,13.0,30.8,8.13999606367307,59.5,40.5,976,678232,30156,14.785501126458202
158,Elsa,44505,21.1,15.4,16.5,34.5,12.0,16.9,16.9,0.0,5.640569395017794,74.0,26.0,691,5683,536,16.18863276438501
159,Emory,38750,12.6,21.3,14.1,12.1,17.1,13.1,13.1,15.0,8.097784568372804,45.1,54.9,916,1359,29,2.9433406916850626
160,Ennis,73176,11.6,11.5,9.0,12.8,13.5,7.6,7.6,13.1,3.718563460221157,63.5,36.5,1176,22254,899,6.740361283364789
161,Euless,77403,7.7,8.7,6.7,21.3,4.9,6.1,6.1,28.2,3.6191425722831503,39.5,60.5,1497,59901,2933,9.048262967229261
162,Everman,56420,20.5,25.4,22.1,31.0,29.5,8.0,8.0,1.5,9.111766633890529,57.6,42.4,1185,5993,204,6.6744535291173035
163,Fairfield,48512,19.8,31.1,20.3,20.2,28.2,15.7,15.7,0.0,6.525839305922293,46.7,53.3,900,2939,106,10.888057162300102
164,Fair Oaks Ranch,150237,4.2,1.6,2.7,0.0,9.9,4.8,4.8,0.0,2.1175758798023594,97.3,2.7,2316,11119,439,4.047126540156489
165,Fairview,103219,11.0,17.9,9.5,16.0,48.6,1.1,1.1,63.3,12.005022213637242,72.0,28.0,1703,10917,109,0.9160025648071815
166,Falfurrias,31275,42.6,25.4,26.0,70.5,11.9,17.3,17.3,100.0,18.41071841071841,53.2,46.8,377,4754,55,7.7829196466133785
167,Farmers Branch,88282,8.3,9.4,6.9,18.4,10.4,5.3,5.3,4.4,3.77173578248817,48.1,51.9,1701,36595,2388,10.465910643530536
168,Farmersville,-,19.8,23.6,20.1,6.5,28.1,20.5,20.5,0.0,19.01685393258427,68.2,31.8,1169,4024,126,8.20079522862823
169,Farwell,65625,11.2,5.1,4.5,8.1,2.3,5.2,5.2,-,3.3400133600534407,70.8,29.2,1107,1383,8,0.7230657989877078
170,Fate,121935,1.7,4.0,2.4,3.4,2.9,4.8,4.8,0.0,2.247841650873868,89.9,10.1,2282,23955,319,3.4648298893759133
171,Ferris,62036,13.0,9.2,5.6,6.5,10.3,3.7,3.7,100.0,3.913824057450628,58.6,41.4,1231,2893,111,10.024196335983408
172,Flatonia,66477,4.5,7.6,4.1,6.8,4.2,3.1,3.1,0.0,0.6822057987492893,80.2,19.8,640,1348,36,5.934718100890208
173,Florence,51875,16.4,10.6,14.6,45.0,4.7,10.6,10.6,100.0,3.762376237623762,58.8,41.2,893,1218,39,11.494252873563218
174,Floresville,60556,12.7,16.2,16.7,22.5,16.3,18.0,18.0,0.0,10.415180482237124,66.6,33.4,1031,7971,332,10.0363818843307
175,Flower Mound,154471,3.3,5.2,3.3,22.9,6.6,4.2,4.2,16.9,3.067075086396481,82.9,17.1,2039,78167,1466,2.635383217982013
176,Floydada,43938,18.1,27.0,19.3,17.5,30.1,22.6,22.6,29.6,9.138576779026216,62.9,37.1,514,2638,93,14.025777103866567
177,Forest Hill,58713,8.1,14.3,9.7,16.7,5.9,6.3,6.3,16.6,8.60691458454387,70.1,29.9,1491,13685,518,12.933869199853854
