,City,Median_Household_Income,Percent_Male,Percent_Female,Percent_over_25y,Percent_HS_less,Percent_HS,Percent_Some_Col_Assoc,Percent_BS_over,Percent_unemployed,Population,Population_Below_Poverty,Poverty_Rate,Percent_Owner_Occ,Percent_Renter_Occ,Median_Rent
1026,Slaton ,54278,13.6,9.4,9.3,41.4,5.4,1.4,1.4,28.6,5783,264,4.565104616980806,74.3,25.7,1023
1027,Smiley ,33438,25.0,44.2,17.3,26.4,22.3,2.7,2.7,0.0,514,86,16.731517509727624,80.0,20.0,950
1028,Smithville ,56627,8.7,6.1,6.8,1.0,13.8,6.8,6.8,26.0,3935,122,3.100381194409149,68.2,31.8,762
1029,Smyer ,36875,17.2,14.4,11.7,8.2,8.5,29.1,29.1,100.0,370,20,5.405405405405405,72.2,27.8,1094
1030,Snook ,76576,8.1,8.2,7.5,8.1,16.0,0.0,0.0,-,514,7,1.3618677042801557,71.8,28.2,856
1031,Snyder ,54915,15.0,11.2,12.8,25.8,17.1,6.8,6.8,50.0,10766,563,5.229425970648338,76.4,23.6,1044
1032,Socorro ,47649,20.3,26.2,22.9,34.1,24.8,12.8,12.8,57.8,35300,2936,8.31728045325779,79.6,20.4,956
1033,Somerset ,73217,15.5,16.1,16.2,22.7,23.1,5.6,5.6,65.4,2149,140,6.514657980456026,70.8,29.2,1025
1034,Somerville ,59394,14.5,29.8,21.6,18.9,41.5,14.6,14.6,0.0,1246,146,11.717495987158909,77.8,22.2,816
1035,Sonora ,53400,16.9,21.6,12.6,20.1,24.0,0.0,0.0,48.2,2833,240,8.471584892340275,60.1,39.9,659
1036,Sour Lake ,65515,14.7,16.6,15.6,16.8,24.7,8.7,8.7,31.0,2037,236,11.585665193912616,68.2,31.8,1152
1037,South Frydek ,116250,0.8,20.2,9.9,0.0,55.2,4.2,4.2,-,215,3,1.3953488372093024,87.3,12.7,-
1038,South Houston ,51006,21.0,24.9,18.6,28.7,16.5,4.9,4.9,18.3,16146,1474,9.129196085717824,51.9,48.1,1131
1039,Southlake ,"250,000+",1.3,2.7,2.1,14.5,3.4,4.2,4.2,1.8,30681,342,1.1146963919037842,95.0,5.0,2518
1040,Southmayd ,83125,15.7,24.5,18.4,27.2,16.4,15.7,15.7,0.0,1474,122,8.276797829036635,92.0,8.0,1578
1041,South Mountain ,59375,18.8,15.0,10.4,50.0,9.4,0.0,0.0,27.8,437,6,1.3729977116704806,86.2,13.8,921
1042,South Padre Island ,62557,8.6,22.0,9.6,44.7,0.0,17.8,17.8,0.0,2348,212,9.028960817717206,71.2,28.8,1361
1043,Southside Place ,187019,1.1,5.6,3.7,10.3,21.4,33.3,33.3,15.9,1535,44,2.8664495114006514,62.3,37.7,1786
1044,Spearman ,62601,7.4,10.4,10.3,23.6,9.4,7.8,7.8,0.0,2913,88,3.0209406110538963,72.6,27.4,830
